anode_volt(50V),anode_current(microA),anode_current_unc(microA)
4.99,690,1
4.49,606,1
3.99,507,1
3.49,390,1
2.99,272,1
2.49,160,1
1.99,76,1
1.49,30,1
0.99,9,1
0.49,0,1
0,0,1
