anode_volt(50V),anode_current(microA),anode_current_unc(microA)
4.99,747,1
4.49,698,1
3.99,610,1
3.49,504,1
2.99,380,1
2.49,250,1
1.99,134,1
1.49,61,1
0.99,22,1
0.49,0,1
0,0,1
