Time,Channel A
(s),(V)

0.00000000,-0.01052889
0.03333340,-0.01007111
0.06666680,-0.01495407
0.10000021,-0.01129185
0.13333361,-0.00961333
0.16666701,-0.01419111
0.20000041,-0.01068148
0.23333381,-0.00961333
0.26666722,-0.01525925
0.30000062,-0.01083407
0.33333402,-0.00900296
0.36666742,-0.01373333
0.40000083,-0.01144444
0.43333423,-0.00915555
0.46666763,-0.01388592
0.50000103,-0.01190222
0.53333443,-0.00991852
0.56666784,-0.01403851
0.60000124,-0.01205481
0.63333464,-0.00869778
0.66666804,-0.01525925
0.70000144,-0.01266518
0.73333485,-0.00930815
0.76666825,-0.01266518
0.80000165,-0.01190222
0.83333505,-0.00808741
0.86666846,-0.01388592
0.90000186,-0.01236000
0.93333526,-0.00900296
0.96666866,-0.01327555
1.00000206,-0.01281777
1.03333547,-0.00930815
1.06666887,-0.01358074
1.10000227,-0.01129185
1.13333567,-0.00991852
1.16666907,-0.01327555
1.20000248,-0.01403851
1.23333588,-0.01007111
1.26666928,-0.01312296
1.30000268,-0.01358074
1.33333609,-0.00961333
1.36666949,-0.01297037
1.40000289,-0.01312296
1.43333629,-0.00839259
1.46666969,-0.01190222
1.50000310,-0.01358074
1.53333650,-0.00885037
1.56666990,-0.01251259
1.60000330,-0.01388592
1.63333670,-0.00885037
1.66667011,-0.01174963
1.70000351,-0.01480148
1.73333691,-0.00930815
1.76667031,-0.01205481
1.80000371,-0.01464888
1.83333712,-0.00930815
1.86667052,-0.01144444
1.90000392,-0.01495407
1.93333732,-0.00900296
1.96667073,-0.01159703
2.00000413,-0.01495407
2.03333753,-0.00961333
2.06667093,-0.01068148
2.10000433,-0.01419111
2.13333774,-0.01007111
2.16667114,-0.01190222
2.20000454,-0.01403851
2.23333794,-0.01113926
2.26667134,-0.01022370
2.30000475,-0.01403851
2.33333815,-0.01037629
2.36667155,-0.01083407
2.40000495,-0.01464888
2.43333836,-0.01113926
2.46667176,-0.01113926
2.50000516,-0.01434370
2.53333856,-0.01037629
2.56667196,-0.01037629
2.60000537,-0.01480148
2.63333877,-0.01052889
2.66667217,-0.00991852
2.70000557,-0.01464888
2.73333897,-0.01174963
2.76667238,-0.01037629
2.80000578,-0.01510666
2.83333918,-0.01068148
2.86667258,-0.00839259
2.90000599,-0.01464888
2.93333939,-0.01236000
2.96667279,-0.00961333
3.00000619,-0.01480148
3.03333959,-0.01251259
3.06667300,-0.00915555
3.10000640,-0.01388592
3.13333980,-0.01205481
3.16667320,-0.00900296
3.20000660,-0.01480148
3.23334001,-0.01144444
3.26667341,-0.01007111
3.30000681,-0.01464888
3.33334021,-0.01266518
3.36667361,-0.00930815
3.40000702,-0.01373333
3.43334042,-0.01190222
3.46667382,-0.00961333
3.50000722,-0.01373333
3.53334063,-0.01312296
3.56667403,-0.00991852
3.60000743,-0.01297037
3.63334083,-0.01312296
3.66667423,-0.00885037
3.70000764,-0.01358074
3.73334104,-0.01205481
3.76667444,-0.00930815
3.80000784,-0.01388592
3.83334124,-0.01480148
3.86667465,-0.01022370
3.90000805,-0.01236000
3.93334145,-0.01464888
3.96667485,-0.00946074
4.00000826,-0.01174963
4.03334166,-0.01403851
4.06667506,-0.00946074
4.10000846,-0.01236000
4.13334186,-0.01419111
4.16667527,-0.00869778
4.20000867,-0.01190222
4.23334207,-0.01327555
4.26667547,-0.00991852
4.30000887,-0.01205481
4.33334228,-0.01434370
4.36667568,-0.00930815
4.40000908,-0.01144444
4.43334248,-0.01388592
4.46667589,-0.01068148
4.50000929,-0.01068148
4.53334269,-0.01480148
4.56667609,-0.00869778
4.60000949,-0.01144444
4.63334290,-0.01434370
4.66667630,-0.01037629
4.70000970,-0.01083407
4.73334310,-0.01251259
4.76667650,-0.01037629
4.80000991,-0.01129185
4.83334331,-0.01464888
4.86667671,-0.01007111
4.90001011,-0.01022370
4.93334351,-0.01495407
4.96667692,-0.01037629
5.00001032,-0.01007111
5.03334372,-0.01510666
5.06667712,-0.01007111
5.10001053,-0.01083407
5.13334393,-0.01419111
5.16667733,-0.01022370
5.20001073,-0.01007111
5.23334413,-0.01419111
5.26667754,-0.01083407
5.30001094,-0.01022370
5.33334434,-0.01495407
5.36667774,-0.01113926
5.40001114,-0.00930815
