Time,Channel A
(s),(V)

0.00000000,0.01052889
0.01333340,-0.00473037
0.02666680,0.00427259
0.04000020,0.01052889
0.05333360,-0.00549333
0.06666700,0.00320444
0.08000040,0.01052889
0.09333380,-0.00381481
0.10666720,0.00427259
0.12000060,0.01098666
0.13333400,-0.00457778
0.14666740,0.00564592
0.16000080,0.01098666
0.17333420,-0.00335704
0.18666760,0.00381481
0.20000100,0.01052889
0.21333440,-0.00473037
0.22666780,0.00457778
0.24000120,0.01022370
0.25333460,-0.00381481
0.26666800,0.00488296
0.28000140,0.01068148
0.29333480,-0.00473037
0.30666819,0.00488296
0.32000159,0.01129185
0.33333499,-0.00350963
0.34666839,0.00396741
0.36000179,0.01068148
0.37333519,-0.00305185
0.38666859,0.00488296
0.40000199,0.01068148
0.41333539,-0.00412000
0.42666879,0.00427259
0.44000219,0.01037629
0.45333559,-0.00396741
0.46666899,0.00503555
0.48000239,0.01007111
0.49333579,-0.00320444
0.50666919,0.00503555
0.52000259,0.00915555
0.53333599,-0.00381481
0.54666939,0.00534074
0.56000279,0.00900296
0.57333619,-0.00412000
0.58666959,0.00534074
0.60000299,0.00991852
0.61333639,-0.00381481
0.62666979,0.00518815
0.64000319,0.00930815
0.65333659,-0.00412000
0.66666999,0.00442518
0.68000339,0.00900296
0.69333679,-0.00427259
0.70667019,0.00625629
0.72000359,0.01022370
0.73333699,-0.00335704
0.74667039,0.00640889
0.76000379,0.00991852
0.77333719,-0.00412000
0.78667059,0.00534074
0.80000399,0.00869778
0.81333739,-0.00350963
0.82667079,0.00503555
0.84000419,0.00915555
0.85333759,-0.00381481
0.86667099,0.00488296
0.88000439,0.00824000
0.89333779,-0.00503555
0.90667119,0.00579852
0.92000458,0.00900296
0.93333798,-0.00396741
0.94667138,0.00534074
0.96000478,0.00808741
0.97333818,-0.00457778
0.98667158,0.00625629
1.00000498,0.00930815
1.01333838,-0.00473037
1.02667178,0.00488296
1.04000518,0.00900296
1.05333858,-0.00549333
1.06667198,0.00503555
1.08000538,0.00869778
1.09333878,-0.00473037
1.10667218,0.00625629
1.12000558,0.00762963
1.13333898,-0.00564592
1.14667238,0.00518815
1.16000578,0.00824000
1.17333918,-0.00518815
1.18667258,0.00534074
1.20000598,0.00762963
1.21333938,-0.00518815
1.22667278,0.00518815
1.24000618,0.00854518
1.25333958,-0.00534074
1.26667298,0.00564592
1.28000638,0.00808741
1.29333978,-0.00518815
1.30667318,0.00534074
1.32000658,0.00762963
1.33333998,-0.00534074
1.34667338,0.00534074
1.36000678,0.00900296
1.37334018,-0.00457778
1.38667358,0.00656148
1.40000698,0.00747704
1.41334038,-0.00442518
1.42667378,0.00534074
1.44000718,0.00869778
1.45334058,-0.00473037
1.46667398,0.00503555
1.48000738,0.00732444
1.49334078,-0.00549333
1.50667418,0.00671407
1.52000757,0.00762963
1.53334097,-0.00579852
1.54667437,0.00549333
1.56000777,0.00701926
1.57334117,-0.00396741
1.58667457,0.00625629
1.60000797,0.00793481
1.61334137,-0.00381481
1.62667477,0.00656148
1.64000817,0.00747704
1.65334157,-0.00534074
1.66667497,0.00671407
1.68000837,0.00824000
1.69334177,-0.00427259
1.70667517,0.00625629
1.72000857,0.00762963
1.73334197,-0.00396741
1.74667537,0.00625629
1.76000877,0.00808741
1.77334217,-0.00412000
1.78667557,0.00625629
1.80000897,0.00793481
1.81334237,-0.00457778
1.82667577,0.00640889
1.84000917,0.00747704
1.85334257,-0.00503555
1.86667597,0.00808741
1.88000937,0.00778222
1.89334277,-0.00320444
1.90667617,0.00625629
1.92000957,0.00656148
1.93334297,-0.00381481
1.94667637,0.00732444
1.96000977,0.00747704
1.97334317,-0.00412000
1.98667657,0.00778222
2.00000997,0.00854518
2.01334337,-0.00228889
2.02667677,0.00747704
2.04001017,0.00824000
2.05334357,-0.00228889
2.06667697,0.00686667
2.08001037,0.00762963
2.09334377,-0.00274667
2.10667717,0.00656148
2.12001057,0.00762963
2.13334396,-0.00335704
2.14667736,0.00824000
2.16001076,0.00747704
2.17334416,-0.00289926
2.18667756,0.00808741
2.20001096,0.00778222
2.21334436,-0.00289926
2.22667776,0.00793481
2.24001116,0.00885037
2.25334456,-0.00167852
2.26667796,0.00793481
2.28001136,0.00808741
