Frequency (kHz), R3 (kOhms), r (kOhms), Capacitance (pF), R2 (kOhms) NOTE: R4 = 9.9960 kOhms
0.1, 0.1702, 1.2166, 1025.4, 0.0993
0.2, 0.1700, 1.2350, 1025.4, 0.0993
0.5, 0.1712, 1.2364,  1025.4, 0.0993
1, 0.1749, 1.2279, 1025.4, 0.0993
2, 0.1895, 1.1916, 1025.4, 0.0993
5, 0.2702, 0.9822, 1025.4, 0.0993
10, 0.4221, 0.6067, 1025.4, 0.0993
20, 0.6164, 0.2050, 1025.4, 0.0993
50, 0.9866, 0.2406, 518.1, 0.0993
100, 1.6161, 0.4856, 218.6, 0.0993
