Frequency (kHz), R3 (kOhms), r (kOhms), Capacitance (pF), R2 (kOhms) NOTE: R4 = 9.9960 kOhms
0.1, 0.0388, 6.1057, 1025.4, 0.9996
0.2, 0.0570, 4.1284, 1025.4, 0.0004
0.5, 0.0884, 2.5482, 1025.4, 1.0033
1, 0.1252, 1.7561, 1025.4, 1.0033
2, 0.1770, 1.1620, 1025.4, 1.0032
5, 0.2803, 0.5731, 1025.4, 1.0032
10, 0.3953, 0.2155, 1025.4, 1.0032
20, 0.55230, 0.2658, 1025.4, 1.0032
50, 0.8485, 0.2425, 1025.4, 1.0078
100, 1.1529, 0.0643, 1025.4, 1.0082
