Frequency (kHz), R3 (kOhms), r (kOhms), Capacitance (pF), R2 (kOhms) NOTE: R4 = 9.9960 kOhms
0.1,0.29528,2.1367,0.98867,45.50
0.2,0.52795,1.7065,0.98849,45.50
0.5,1.4435,6.3847,0.98827,9.557
1,2.7984,2.6648,0.98796,9.557
2,4.0113,9.4098,0.10828,2.031
5,6.2198,2.3716,0.11002,2.031
10,8.8858,2.5249,0.109943,1025.4
20,9.8743,2.0953,0.14050,518.1
50,1.2270,0.20521,1.0519,518.1
