Time,Channel A
0.00000000,0.00549333
0.00133340,0.00640889
0.00266680,0.00335704
0.00400020,0.00488296
0.00533360,0.00732444
0.00666700,0.01037629
0.00800040,0.01281777
0.00933380,0.01709037
0.01066720,0.01922666
0.01200060,0.01739555
0.01333400,0.01709037
0.01466740,0.01495407
0.01600080,0.01312296
0.01733420,0.01068148
0.01866760,0.01037629
0.02000100,0.00579852
0.02133440,0.00579852
0.02266780,0.00579852
0.02400120,0.00549333
0.02533460,0.00793481
0.02666800,0.01037629
0.02800140,0.01281777
0.02933480,0.01617481
0.03066820,0.01922666
0.03200160,0.01525925
0.03333500,0.01525925
0.03466840,0.01312296
0.03600180,0.01037629
0.03733520,0.01098666
0.03866860,0.00885037
0.04000200,0.00762963
0.04133540,0.00396741
0.04266880,0.00518815
0.04400220,0.00366222
0.04533560,0.00762963
0.04666900,0.00976592
0.04800240,0.01281777
0.04933580,0.01525925
0.05066920,0.01678518
0.05200260,0.01586962
0.05333600,0.01709037
0.05466940,0.01495407
0.05600280,0.01129185
0.05733620,0.01007111
0.05866960,0.00885037
0.06000300,0.00671407
0.06133640,0.00518815
0.06266980,0.00274667
0.06400320,0.00427259
0.06533660,0.00671407
0.06667000,0.00976592
0.06800340,0.01464888
0.06933680,0.01464888
0.07067020,0.01739555
0.07200360,0.01678518
0.07333700,0.01373333
0.07467040,0.01342814
0.07600380,0.01037629
0.07733720,0.01068148
0.07867060,0.00915555
0.08000400,0.00549333
0.08133740,0.00488296
0.08267080,0.00518815
0.08400420,0.00396741
0.08533760,0.00732444
0.08667100,0.01037629
0.08800440,0.01373333
0.08933780,0.01586962
0.09067120,0.01709037
0.09200460,0.01556444
0.09333800,0.01434370
0.09467140,0.01464888
0.09600480,0.01068148
0.09733820,0.01129185
0.09867160,0.01007111
0.10000500,0.00549333
0.10133840,0.00488296
0.10267180,0.00396741
0.10400520,0.00579852
0.10533860,0.00732444
0.10667200,0.00915555
0.10800540,0.01190222
0.10933880,0.01556444
0.11067220,0.01709037
0.11200560,0.01495407
0.11333900,0.01525925
0.11467240,0.01464888
0.11600580,0.01068148
0.11733920,0.01007111
0.11867260,0.00762963
