Time,Channel A
0.00000000,0.00915555
0.00133340,0.00732444
0.00266680,0.00915555
0.00400020,0.00854518
0.00533360,0.00549333
0.00666700,0.00427259
0.00800040,0.00305185
0.00933380,0.00305185
0.01066720,-0.00091556
0.01200060,-0.00152593
0.01333400,-0.00213630
0.01466740,-0.00183111
0.01600080,0.00000000
0.01733420,0.00366222
0.01866760,0.00671407
0.02000100,0.00976592
0.02133440,0.01007111
0.02266780,0.00762963
0.02400120,0.00824000
0.02533460,0.00854518
0.02666800,0.00518815
0.02800140,0.00579852
0.02933480,0.00244148
0.03066820,-0.00091556
0.03200160,0.00152593
0.03333500,-0.00183111
0.03466840,-0.00335704
0.03600180,0.00000000
0.03733520,0.00152593
0.03866860,0.00427259
0.04000200,0.01007111
0.04133540,0.01007111
0.04266880,0.00793481
0.04400220,0.00671407
0.04533560,0.00671407
0.04666900,0.00396741
0.04800240,0.00183111
0.04933580,0.00091556
0.05066920,-0.00122074
0.05200260,-0.00152593
0.05333600,0.00000000
0.05466940,-0.00183111
0.05600280,0.00091556
0.05733620,0.00244148
0.05866960,0.00488296
0.06000300,0.01007111
0.06133640,0.01007111
0.06266980,0.00854518
0.06400320,0.00915555
0.06533660,0.00610370
0.06667000,0.00396741
0.06800340,0.00244148
0.06933680,0.00091556
0.07067020,-0.00061037
0.07200360,-0.00091556
0.07333700,-0.00122074
0.07467040,-0.00152593
0.07600380,-0.00061037
0.07733720,0.00518815
0.07867060,0.00762963
0.08000400,0.00915555
0.08133740,0.01007111
0.08267080,0.00854518
0.08400420,0.00793481
0.08533760,0.00518815
0.08667100,0.00335704
0.08800440,0.00396741
0.08933780,0.00335704
0.09067120,0.00061037
0.09200460,0.00091556
0.09333800,-0.00122074
0.09467140,-0.00061037
0.09600480,0.00152593
0.09733820,0.00549333
0.09867160,0.00793481
0.10000500,0.00854518
0.10133840,0.01007111
0.10267180,0.00854518
0.10400520,0.00915555
0.10533860,0.00549333
0.10667200,0.00244148
0.10800540,0.00335704
0.10933880,0.00122074
0.11067220,-0.00061037
0.11200560,-0.00091556
0.11333900,-0.00152593
0.11467240,-0.00122074
0.11600580,0.00122074
0.11733920,0.00091556
0.11867260,0.00579852
0.12000600,0.00976592
0.12133940,0.00915555
0.12267280,0.00824000
0.12400620,0.00640889
0.12533960,0.00671407
0.12667300,0.00305185
0.12800640,0.00366222
0.12933980,0.00091556
0.13067320,0.00061037
0.13200660,-0.00061037
0.13334000,-0.00396741
0.13467340,0.00091556
0.13600680,0.00244148
0.13734020,0.00518815
0.13867360,0.00732444
0.14000700,0.00915555
0.14134040,0.01037629
0.14267380,0.00793481
0.14400720,0.00793481
0.14534060,0.00671407
0.14667400,0.00549333
0.14800740,0.00335704
0.14934080,0.00274667
0.15067420,0.00030519
0.15200760,-0.00183111
