Time,Channel A
0.00000000,0.01709037
0.00133340,0.01495407
0.00266680,0.01312296
0.00400020,0.01281777
0.00533360,0.01281777
0.00666700,0.00915555
0.00800040,0.00640889
0.00933380,0.00549333
0.01066720,0.00732444
0.01200060,0.00762963
0.01333400,0.01281777
0.01466740,0.01586962
0.01600080,0.01831111
0.01733420,0.02044740
0.01866760,0.01861629
0.02000100,0.01770074
0.02133440,0.01525925
0.02266780,0.01220740
0.02400120,0.01129185
0.02533460,0.01190222
0.02666800,0.00824000
0.02800140,0.00824000
0.02933480,0.00671407
0.03066820,0.00579852
0.03200160,0.00915555
0.03333500,0.01312296
0.03466840,0.01739555
0.03600180,0.01922666
0.03733520,0.02014222
0.03866860,0.02044740
0.04000200,0.01861629
0.04133540,0.01709037
0.04266880,0.01373333
0.04400220,0.01281777
0.04533560,0.01068148
0.04666900,0.00610370
0.04800240,0.00610370
0.04933580,0.00518815
0.05066920,0.00610370
0.05200260,0.00793481
0.05333600,0.01373333
0.05466940,0.01617481
0.05600280,0.01922666
0.05733620,0.01983703
0.05866960,0.01953185
0.06000300,0.01831111
0.06133640,0.01617481
0.06266980,0.01312296
0.06400320,0.01281777
0.06533660,0.01220740
0.06667000,0.00915555
0.06800340,0.00824000
0.06933680,0.00518815
0.07067020,0.00518815
0.07200360,0.00915555
0.07333700,0.01312296
0.07467040,0.01678518
0.07600380,0.02136296
0.07733720,0.01861629
0.07867060,0.01983703
0.08000400,0.01770074
0.08133740,0.01678518
0.08267080,0.01281777
0.08400420,0.01220740
0.08533760,0.01129185
0.08667100,0.00976592
0.08800440,0.00732444
0.08933780,0.00518815
0.09067120,0.00732444
0.09200460,0.00762963
0.09333800,0.01220740
0.09467140,0.01678518
0.09600480,0.02014222
0.09733820,0.02014222
0.09867160,0.01953185
0.10000500,0.01800592
0.10133840,0.01678518
0.10267180,0.01251259
0.10400520,0.01556444
0.10533860,0.01068148
0.10667200,0.00824000
0.10800540,0.00671407
0.10933880,0.00488296
0.11067220,0.00671407
0.11200560,0.00854518
0.11333900,0.01434370
0.11467240,0.01831111
0.11600580,0.01953185
0.11733920,0.02075259
0.11867260,0.01953185
0.12000600,0.01678518
0.12133940,0.01709037
0.12267280,0.01709037
0.12400620,0.01281777
0.12533960,0.01098666
0.12667300,0.00793481
0.12800640,0.00793481
0.12933980,0.00579852
0.13067320,0.00671407
0.13200660,0.01007111
0.13334000,0.01434370
0.13467340,0.01709037
0.13600680,0.02075259
0.13734020,0.02075259
0.13867360,0.01861629
0.14000700,0.01831111
0.14134040,0.01739555
0.14267380,0.01312296
0.14400720,0.01525925
0.14534060,0.01068148
0.14667400,0.00885037
0.14800740,0.00640889
0.14934080,0.00518815
0.15067420,0.00640889
0.15200760,0.00915555
0.15334100,0.01312296
0.15467440,0.01770074
0.15600780,0.02075259
0.15734120,0.01922666
0.15867460,0.01800592
0.16000800,0.01770074
0.16134140,0.01525925
0.16267480,0.01373333
0.16400820,0.01495407
0.16534160,0.01251259
0.16667500,0.00671407
0.16800840,0.00732444
0.16934180,0.00976592
0.17067520,0.00732444
0.17200860,0.00976592
0.17334200,0.01342814
0.17467540,0.01709037
0.17600880,0.02075259
0.17734220,0.01983703
0.17867560,0.01983703
0.18000900,0.01739555
0.18134240,0.01739555
0.18267580,0.01556444
0.18400920,0.01464888
0.18534260,0.01129185
0.18667600,0.00793481
0.18800940,0.00976592
0.18934280,0.00854518
0.19067620,0.00671407
0.19200960,0.01037629
0.19334300,0.01434370
0.19467640,0.01831111
0.19600980,0.02014222
0.19734320,0.02014222
0.19867660,0.01953185
0.20001000,0.01800592
0.20134340,0.01739555
0.20267680,0.01312296
0.20401020,0.01281777
0.20534360,0.01129185
0.20667700,0.00915555
0.20801040,0.00976592
0.20934380,0.00732444
0.21067720,0.00824000
0.21201060,0.01098666
0.21334400,0.01556444
0.21467740,0.01739555
0.21601080,0.02014222
0.21734420,0.02166814
0.21867760,0.01922666
0.22001100,0.01800592
0.22134440,0.01739555
0.22267780,0.01434370
0.22401120,0.01434370
0.22534460,0.01281777
0.22667800,0.01190222
0.22801140,0.00762963
0.22934480,0.00640889
0.23067820,0.00610370
0.23201160,0.01037629
0.23334500,0.01281777
0.23467840,0.01709037
0.23601180,0.02075259
0.23734520,0.01983703
0.23867860,0.01983703
0.24001200,0.01831111
0.24134540,0.01678518
0.24267880,0.01495407
0.24401220,0.01373333
0.24534560,0.01220740
0.24667900,0.00885037
0.24801240,0.00824000
0.24934580,0.00579852
0.25067920,0.00854518
0.25201260,0.01129185
0.25334600,0.01525925
0.25467940,0.01861629
0.25601280,0.02166814
0.25734620,0.02136296
0.25867960,0.01983703
0.26001300,0.01983703
0.26134640,0.01617481
0.26267980,0.01312296
0.26401320,0.01586962
0.26534660,0.01190222
0.26668001,0.01007111
0.26801341,0.00976592
0.26934681,0.00732444
0.27068021,0.00854518
0.27201361,0.01037629
0.27334701,0.01464888
0.27468041,0.01953185
0.27601381,0.02166814
0.27734721,0.02014222
0.27868061,0.01983703
0.28001401,0.01861629
0.28134741,0.01586962
0.28268081,0.01495407
0.28401421,0.01586962
0.28534761,0.01281777
0.28668101,0.00885037
0.28801441,0.00762963
0.28934781,0.00640889
0.29068121,0.00793481
0.29201461,0.01129185
0.29334801,0.01373333
0.29468141,0.01800592
0.29601481,0.01983703
0.29734821,0.01922666
0.29868161,0.01983703
0.30001501,0.01770074
0.30134841,0.01678518
0.30268181,0.01434370
0.30401521,0.01251259
0.30534861,0.01220740
0.30668201,0.01037629
0.30801541,0.00915555
0.30934881,0.00671407
0.31068221,0.00793481
